GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Filler
0500000US01001,1001,"Autauga County, Alabama",17662,9556,0,9556,8106,0
0500000US01003,1003,"Baldwin County, Alabama",74285,30689,1272,29417,43596,0
0500000US01005,1005,"Barbour County, Alabama",12461,3822,0,3822,8639,0
0500000US01007,1007,"Bibb County, Alabama",8345,1196,0,1196,7149,0
0500000US01009,1009,"Blount County, Alabama",21158,1840,0,1840,19318,0
0500000US01011,1011,"Bullock County, Alabama",4727,1272,0,1272,3455,0
0500000US01013,1013,"Butler County, Alabama",9957,2482,0,2482,7475,0
0500000US01015,1015,"Calhoun County, Alabama",51322,35690,33609,2081,15632,0
0500000US01017,1017,"Chambers County, Alabama",16256,8319,0,8319,7937,0
0500000US01019,1019,"Cherokee County, Alabama",14025,0,0,0,14025,0
0500000US01021,1021,"Chilton County, Alabama",17651,2144,0,2144,15507,0
0500000US01023,1023,"Choctaw County, Alabama",7839,0,0,0,7839,0
0500000US01025,1025,"Clarke County, Alabama",12631,3153,0,3153,9478,0
0500000US01027,1027,"Clay County, Alabama",6612,0,0,0,6612,0
0500000US01029,1029,"Cleburne County, Alabama",6189,0,0,0,6189,0
0500000US01031,1031,"Coffee County, Alabama",19837,8827,0,8827,11010,0
0500000US01033,1033,"Colbert County, Alabama",24980,13495,13321,174,11485,0
0500000US01035,1035,"Conecuh County, Alabama",7265,0,0,0,7265,0
0500000US01037,1037,"Coosa County, Alabama",6142,0,0,0,6142,0
0500000US01039,1039,"Covington County, Alabama",18578,5230,0,5230,13348,0
0500000US01041,1041,"Crenshaw County, Alabama",6644,0,0,0,6644,0
0500000US01043,1043,"Cullman County, Alabama",35233,8895,0,8895,26338,0
0500000US01045,1045,"Dale County, Alabama",21779,9539,1396,8143,12240,0
0500000US01047,1047,"Dallas County, Alabama",20450,11114,0,11114,9336,0
0500000US01049,1049,"DeKalb County, Alabama",28051,3193,0,3193,24858,0
0500000US01051,1051,"Elmore County, Alabama",25733,8304,0,8304,17429,0
0500000US01053,1053,"Escambia County, Alabama",16544,7032,0,7032,9512,0
0500000US01055,1055,"Etowah County, Alabama",45959,28852,28625,227,17107,0
0500000US01057,1057,"Fayette County, Alabama",8472,1841,0,1841,6631,0
0500000US01059,1059,"Franklin County, Alabama",13749,3700,0,3700,10049,0
0500000US01061,1061,"Geneva County, Alabama",12115,1531,66,1465,10584,0
0500000US01063,1063,"Greene County, Alabama",5117,0,0,0,5117,0
0500000US01065,1065,"Hale County, Alabama",7756,1071,0,1071,6685,0
0500000US01067,1067,"Henry County, Alabama",8037,0,0,0,8037,0
