"","SK14","county","HC01_VC03","HC03_VC07","HC03_VC23","HC03_VC50","HC03_VC69","HC03_VC101","HC03_VC131","HC03_VC132","HC03_VC134","HC03_VC164","class","HC03_VC131_m","HC03_VC132_m","HC03_VC134_m"
"1",-0.631,"Alabama",42712,3.4,66.7,1.2,5.6,12.8,91.1,72.7,8.9,3.7,-1,0.00213289005431729,0.00170209777111819,0.000208372354373478
"2",-0.5554,"Alabama",160301,3.7,66.9,1.4,5.9,8.9,88.2,68.5,11.8,5.3,-1,0.000550214908203941,0.00042732110217653,7.36115183311395e-05
"3",-0.89104,"Alabama",21476,6.2,67.5,4.5,6.9,25.4,87,55.4,13,7.3,-1,0.00405103371205066,0.00257962376606444,0.000605326876513317
"4",-0.90658,"Alabama",18496,3.5,59.7,3.9,5.9,14.8,91,66.3,9,5.8,-1,0.00491998269896194,0.00358455882352941,0.00048659169550173
"5",-1.01328,"Alabama",46007,3,53.8,2.9,3.7,11.5,88.8,67.9,11.2,7.7,-1,0.00193014106549003,0.00147586236876997,0.000243441215467211
"6",-0.5024,"Alabama",8547,7.5,63.6,12.7,6.8,20.7,83.3,48.2,16.7,7,-1,0.00974610974610975,0.00563940563940564,0.00195390195390195
"7",-0.33917,"Alabama",16103,5.3,76.9,3.7,5.3,21.1,88.2,59.4,11.8,11,-1,0.00547724026578898,0.0036887536483885,0.000732782711296032
"8",-0.35189,"Alabama",93229,6.7,71.6,1.1,4.9,19,89.1,66.2,10.9,6.6,-1,0.000955711205740703,0.000710079481706336,0.000116916410129895
"9",-0.36673,"Alabama",27454,4.1,72.1,1.5,3.4,17.5,88.2,58.9,11.8,6.3,-1,0.00321264660887302,0.00214540686238799,0.000429809863772128
"10",-1.05214,"Alabama",21248,3,65.9,2,7.9,16.3,90.5,66.8,9.5,8.5,-1,0.00425922439759036,0.00314382530120482,0.000447100903614458
"11",-0.59921,"Alabama",34490,4.4,58.1,3,3.9,18.4,84.2,60.9,15.8,10.2,-1,0.00244128732966077,0.00176572919686866,0.000458103798202378
"12",0.76314,"Alabama",10859,6.2,56,8.3,5,23,88.5,58.6,11.5,5.5,1,0.00814992172391565,0.00539644534487522,0.00105902937655401
"13",0.411954,"Alabama",20008,8.4,59.3,3.9,4.8,17.6,86.7,56,13.3,10.5,1,0.00433326669332267,0.00279888044782087,0.000664734106357457
"14",-0.96311,"Alabama",10948,3.5,61.5,4.6,7.6,15.3,87.1,63.5,12.9,4.5,-1,0.007955791012057,0.00580014614541469,0.00117829740591889
