id	rate
01001	96.6
01003	96.3
01005	93.8
01007	96.5
01009	97
01011	92.5
01013	94.7
01015	93.3
01017	95.9
01019	97
01021	95.6
01023	93.8
01025	91.6
01027	96.5
01029	96.2
01031	96.5
01033	95.9
01035	90.4
01037	94.1
01039	94.3
01041	95.9
01043	96.8
01045	94.5
01047	92.2
01049	96.6
01051	95.8
01053	92.9
01055	95.4
01057	95.6
01059	94.6
01061	94.5
01063	92.3
01065	94.3
01067	95.9
01069	95.3
01071	95.4
01073	94.9
01075	95.3
01077	95.7
01079	95.7
01081	96.3
01083	95.4
01085	94
01087	91.9
01089	95.3
01091	93.2
01093	96
01095	96
01097	95
01099	89.6
01101	94.8
01103	94.8
01105	95.7
01107	94.1
01109	94.3
01111	96
01113	94.6
01115	96.2
01117	96.9
01119	92.8
01121	93.5
01123	95
01125	95.9
01127	94.4
01129	92
01131	91.6
01133	95.6
02013	97.7
02016	99.1
02020	95.8
02050	88.1
02060	95.8
02068	99.1
02070	93.1
02090	94.4
02100	97.5
02105	93.2
02110	96.4
02122	94.7
02130	94.9
02150	97.4
02158	84.8
02164	92.1
02170	93.8
02180	88.9
02185	92
02188	85.8
02195	96
02198	91.2
02220	96.9
02230	94.4
02240	94.1
02261	94
02275	95.7
02282	94.6
02290	88.8
04001	93.6
04003	96.1
04005	94.7
04007	94.3
04009	92.8
04011	95
04012	95.6
04013	95.7
04015	94.8
04017	91
04019	94.6
04021	95.3
04023	94.6
04025	95.8
04027	93.4
05001	94.5
05003	94.6
05005	97.1
05007	97.8
05009	95.3
05011	94.3
05013	96.2
05015	96.7
05017	95
05019	95.4
05021	96.2
05023	95.7
05025	95.3
05027	94.7
05029	96.1
05031	96
05033	96
05035	94.5
05037	95.8
05039	96.3
05041	93.2
05043	92.7
05045	96.3
05047	95.5
05049	96.6
05051	95
05053	95.4
05055	95.3
05057	95.4
05059	96.3
05061	95.8
05063	96.1
05065	95.7
05067	96.8
05069	94.9
05071	96.9
05073	94.6
05075	95.7
05077	93.3
05079	96.3
05081	95.5
05083	95.8
05085	96.5
05087	97.1
05089	95.6
05091	94.9
05093	93.7
05095	94.1
05097	97.9
05099	96.4
05101	97.5
05103	95.6
05105	96.2
05107	90.6
05109	96.9
05111	96.5
05113	95.8
05115	95.8
05117	96.3
05119	96
05121	97.9
05123	94.8
05125	97
05127	93.2
05129	98
05131	96.8
05133	95.8
05135	96.3
05137	96.3
05139	94.9
05141	94.6
05143	96.6
05145	96.5
05147	93.6
05149	96.2
06001	95.3
06003	94.3
06005	94.7
06007	94.1
06009	95.4
06011	94.6
06013	95.1
06015	95.3
06017	94.3
06019	92.8
06021	94.5
06023	94.4
06025	91
06027	96.3
06029	93
06031	93.9
06033	93.2
06035	96.5
06037	94.3
06039	95.8
06041	96.7
06043	94.8
06045	93.6
06047	90.7
06049	96.5
06051	94.2
06053	95.9
06055	95.7
06057	95.2
06059	95.6
06061	95.7
06063	93.9
06065	93.2
06067	93.6
06069	92.7
06071	93.5
06073	95.1
06075	95.7
06077	92.8
06079	96.8
06081	96.2
06083	95.4
06085	95.6
06087	95.3
06089	95.4
